arm	seed	job_id	run_stamp
grpo	43	30159729	mde69_gate2_compute_matched_05b_6pass_grpo_s43
verified_first_global_replay_canonical	43	30159730	mde69_gate2_compute_matched_05b_6pass_verified_first_global_replay_canonical_s43
