domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
Graph coloring,A,gce71,verified_first_global_replay_canonical,mean8,9,3456,0.408935546875,0.376220703125,0.407958984375,0.425048828125,0.356689453125,0.394970703125,0.356689453125,0.425048828125,0,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,pass8,9,3456,0.974609375,0.970703125,0.9765625,0.96484375,0.955078125,0.968359375,0.955078125,0.9765625,0,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,distinct8,9,3456,2.5234375,2.443359375,2.666015625,2.607421875,2.236328125,2.4953125,2.236328125,2.666015625,0,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,greedy,12,4608,0.484375,0.4765625,0.4140625,0.421875,0.515625,0.4625,0.4140625,0.515625,1,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,mean8,12,4608,0.432861328125,0.394287109375,0.402099609375,0.4150390625,0.39111328125,0.407080078125,0.39111328125,0.432861328125,1,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,pass8,12,4608,0.970703125,0.955078125,0.970703125,0.94921875,0.95703125,0.960546875,0.94921875,0.970703125,1,1
Graph coloring,A,gce71,verified_first_global_replay_canonical,distinct8,12,4608,2.40625,2.388671875,2.4609375,2.439453125,2.333984375,2.405859375,2.333984375,2.4609375,1,1
Countdown,A,cde70,grpo,greedy,0,0,0.015625,0.015625,0.015625,0.015625,0.0078125,0.0140625,0.0078125,0.015625,0,1
Countdown,A,cde70,grpo,mean8,0,0,0.010986328125,0.010986328125,0.010986328125,0.010986328125,0.017333984375,0.012255859375,0.010986328125,0.017333984375,0,1
Countdown,A,cde70,grpo,pass8,0,0,0.080078125,0.080078125,0.080078125,0.080078125,0.123046875,0.088671875,0.080078125,0.123046875,0,1
Countdown,A,cde70,grpo,distinct8,0,0,0.087890625,0.087890625,0.087890625,0.087890625,0.138671875,0.098046875,0.087890625,0.138671875,0,1
Countdown,A,cde70,grpo,greedy,3,1152,0.328125,0.46875,0.453125,0.53125,0.46875,0.45,0.328125,0.53125,0,1
Countdown,A,cde70,grpo,mean8,3,1152,0.320556640625,0.458251953125,0.45849609375,0.52392578125,0.47216796875,0.4466796875,0.320556640625,0.52392578125,0,1
Countdown,A,cde70,grpo,pass8,3,1152,0.37109375,0.548828125,0.509765625,0.609375,0.5390625,0.515625,0.37109375,0.609375,0,1
Countdown,A,cde70,grpo,distinct8,3,1152,0.400390625,0.64453125,0.509765625,0.703125,0.5625,0.5640625,0.400390625,0.703125,0,1
Countdown,A,cde70,grpo,greedy,6,2304,0.4375,0.609375,0.625,0.625,0.5625,0.571875,0.4375,0.625,0,1
Countdown,A,cde70,grpo,mean8,6,2304,0.437255859375,0.60302734375,0.618408203125,0.62255859375,0.5556640625,0.5673828125,0.437255859375,0.62255859375,0,1
Countdown,A,cde70,grpo,pass8,6,2304,0.4375,0.65234375,0.6328125,0.638671875,0.578125,0.587890625,0.4375,0.65234375,0,1
Countdown,A,cde70,grpo,distinct8,6,2304,0.4453125,0.697265625,0.64453125,0.66796875,0.578125,0.606640625,0.4453125,0.697265625,0,1
Countdown,A,cde70,grpo,greedy,9,3456,0.4375,0.59375,0.6484375,0.6484375,0.5859375,0.5828125,0.4375,0.6484375,0,1
Countdown,A,cde70,grpo,mean8,9,3456,0.4375,0.591552734375,0.6484375,0.642822265625,0.57861328125,0.57978515625,0.4375,0.6484375,0,1
Countdown,A,cde70,grpo,pass8,9,3456,0.4375,0.609375,0.6484375,0.654296875,0.59375,0.588671875,0.4375,0.654296875,0,1
Countdown,A,cde70,grpo,distinct8,9,3456,0.4453125,0.6796875,0.6640625,0.685546875,0.59375,0.613671875,0.4453125,0.685546875,0,1
Countdown,A,cde70,grpo,greedy,12,4608,0.4375,0.5859375,0.6328125,0.65625,0.625,0.5875,0.4375,0.65625,1,1
Countdown,A,cde70,grpo,mean8,12,4608,0.437255859375,0.58447265625,0.635498046875,0.655517578125,0.621826171875,0.5869140625,0.437255859375,0.655517578125,1,1
Countdown,A,cde70,grpo,pass8,12,4608,0.4375,0.6015625,0.6484375,0.65625,0.625,0.59375,0.4375,0.65625,1,1
Countdown,A,cde70,grpo,distinct8,12,4608,0.4453125,0.724609375,0.6484375,0.69140625,0.625,0.626953125,0.4453125,0.724609375,1,1
Countdown,A,cde70,verified_first_global_replay_canonical,greedy,0,0,0.015625,0.015625,0.015625,0.0078125,0.0078125,0.0125,0.0078125,0.015625,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,mean8,0,0,0.010986328125,0.010986328125,0.010986328125,0.017333984375,0.017333984375,0.013525390625,0.010986328125,0.017333984375,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,pass8,0,0,0.080078125,0.080078125,0.080078125,0.123046875,0.123046875,0.097265625,0.080078125,0.123046875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,distinct8,0,0,0.087890625,0.087890625,0.087890625,0.138671875,0.138671875,0.108203125,0.087890625,0.138671875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,greedy,3,1152,0.5703125,0.5234375,0.5703125,0.5859375,0.484375,0.546875,0.484375,0.5859375,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,mean8,3,1152,0.498046875,0.425537109375,0.536376953125,0.549072265625,0.450439453125,0.49189453125,0.425537109375,0.549072265625,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,pass8,3,1152,0.658203125,0.662109375,0.65625,0.669921875,0.642578125,0.6578125,0.642578125,0.669921875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,distinct8,3,1152,1.087890625,1.390625,1.181640625,1.6015625,1.083984375,1.269140625,1.083984375,1.6015625,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,greedy,6,2304,0.5859375,0.625,0.578125,0.609375,0.5859375,0.596875,0.578125,0.625,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,mean8,6,2304,0.552978515625,0.5361328125,0.572998046875,0.580078125,0.532958984375,0.555029296875,0.532958984375,0.580078125,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,pass8,6,2304,0.6875,0.66015625,0.67578125,0.673828125,0.65625,0.670703125,0.65625,0.6875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,distinct8,6,2304,1.4296875,1.54296875,1.2265625,1.74609375,1.5703125,1.503125,1.2265625,1.74609375,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,greedy,9,3456,0.6171875,0.5859375,0.6171875,0.6171875,0.6171875,0.6109375,0.5859375,0.6171875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,mean8,9,3456,0.60009765625,0.574951171875,0.578857421875,0.599853515625,0.59130859375,0.589013671875,0.574951171875,0.60009765625,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,pass8,9,3456,0.69140625,0.693359375,0.68359375,0.685546875,0.66796875,0.684375,0.66796875,0.693359375,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,distinct8,9,3456,1.755859375,1.705078125,1.232421875,1.8671875,1.69921875,1.651953125,1.232421875,1.8671875,0,1
Countdown,A,cde70,verified_first_global_replay_canonical,greedy,12,4608,0.5859375,0.625,0.640625,0.640625,0.609375,0.6203125,0.5859375,0.640625,1,1
Countdown,A,cde70,verified_first_global_replay_canonical,mean8,12,4608,0.58056640625,0.617919921875,0.62939453125,0.613525390625,0.6103515625,0.6103515625,0.58056640625,0.62939453125,1,1
Countdown,A,cde70,verified_first_global_replay_canonical,pass8,12,4608,0.705078125,0.701171875,0.71484375,0.671875,0.669921875,0.692578125,0.669921875,0.71484375,1,1
Countdown,A,cde70,verified_first_global_replay_canonical,distinct8,12,4608,1.802734375,2.033203125,1.484375,2.130859375,2.013671875,1.89296875,1.484375,2.130859375,1,1
Python factors,A,pye70,grpo,greedy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,grpo,mean8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,grpo,pass8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,grpo,distinct8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,grpo,greedy,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,mean8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,pass8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,distinct8,3,1152,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,greedy,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
