domain,track,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,mean,min,max,is_terminal,is_registered_checkpoint
Graph coloring,modebench,grpo,distinct8,12,2304,0.34375,0.3932291567325592,0.3958333432674408,0.3776041666666667,0.34375,0.3958333432674408,1,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,0,0,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,1,192,0.3020833432674408,0.3020833432674408,0.3229166567325592,0.3090277810891469,0.3020833432674408,0.3229166567325592,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,2,384,0.375,0.3125,0.3541666567325592,0.3472222189108531,0.3125,0.375,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,3,576,0.3125,0.2916666567325592,0.40625,0.3368055522441864,0.2916666567325592,0.40625,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,4,768,0.4479166567325592,0.4270833432674408,0.4375,0.4375,0.4270833432674408,0.4479166567325592,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,5,960,0.4895833432674408,0.46875,0.4479166567325592,0.46875,0.4479166567325592,0.4895833432674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,6,1152,0.5625,0.4583333432674408,0.5104166865348816,0.5104166766007742,0.4583333432674408,0.5625,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,8,1536,0.5520833134651184,0.5208333134651184,0.5208333134651184,0.531249980131785,0.5208333134651184,0.5520833134651184,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,greedy,10,1920,0.5,0.4583333432674408,0.5104166865348816,0.4895833432674408,0.4583333432674408,0.5104166865348816,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,0,0,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,1,192,0.2942708432674408,0.3131510317325592,0.3014322817325592,0.3029513855775197,0.2942708432674408,0.3131510317325592,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,2,384,0.3118489682674408,0.298828125,0.3020833432674408,0.3042534788449605,0.298828125,0.3118489682674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,3,576,0.3046875,0.3053385317325592,0.3460286557674408,0.3186848958333333,0.3046875,0.3460286557674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,4,768,0.3274739682674408,0.3346354067325592,0.3567708432674408,0.3396267394224803,0.3274739682674408,0.3567708432674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,5,960,0.3714192807674408,0.3531900942325592,0.3544921875,0.3597005208333333,0.3531900942325592,0.3714192807674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,6,1152,0.3857421875,0.3619791567325592,0.3792317807674408,0.3756510416666667,0.3619791567325592,0.3857421875,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,8,1536,0.3916015625,0.4137369692325592,0.4020182192325592,0.4024522503217061,0.3916015625,0.4137369692325592,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,mean8,10,1920,0.396484375,0.3971354067325592,0.4055989682674408,0.3997395833333333,0.396484375,0.4055989682674408,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,0,0,0.484375,0.484375,0.484375,0.484375,0.484375,0.484375,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,1,192,0.8880208134651184,0.8619791865348816,0.8671875,0.8723958333333334,0.8619791865348816,0.8880208134651184,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,2,384,0.9296875,0.8333333134651184,0.8723958134651184,0.8784722089767456,0.8333333134651184,0.9296875,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,3,576,0.8671875,0.8645833134651184,0.9479166865348816,0.8932291666666666,0.8645833134651184,0.9479166865348816,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,4,768,0.9192708134651184,0.8619791865348816,0.953125,0.9114583333333334,0.8619791865348816,0.953125,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,5,960,0.9505208134651184,0.8984375,0.9505208134651184,0.9331597089767456,0.8984375,0.9505208134651184,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,6,1152,0.9583333134651184,0.9270833134651184,0.9661458134651184,0.9505208134651184,0.9270833134651184,0.9661458134651184,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,8,1536,0.9583333134651184,0.9869791865348816,0.9661458134651184,0.9704861044883728,0.9583333134651184,0.9869791865348816,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,pass8,10,1920,0.9713541865348816,0.9635416865348816,0.96875,0.967881957689921,0.9635416865348816,0.9713541865348816,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,0,0,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0,1
